,index,location,points,price,country,polarity
0,0,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",87,14.0,Italy,-0.2
1,1,"Cavallotto winery ,Barolo, Piedmont, Italy",97,150.0,Italy,3.96508223080413e-18
2,2,"Louis Latour winery ,Montrachet, Burgundy, France",96,630.0,France,0.26642857142857146
3,3,"Louis Latour winery ,Criots-Bâtard-Montrachet, Burgundy, France",95,380.0,France,0.2833333333333333
4,4,"Marchesi Antinori winery ,Bolgheri Superiore, Tuscany, Italy",98,102.0,Italy,0.25
5,5,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",97,220.0,Italy,0.10740740740740741
6,6,"Tenuta dell'Ornellaia winery ,Bolgheri Superiore, Tuscany, Italy",97,215.0,Italy,0.21388888888888888
7,7,"Château Trotanoy winery ,Pomerol, Bordeaux, France",96,400.0,France,0.1875
8,8,"Cavallotto winery ,Barolo, Piedmont, Italy",92,,Italy,-0.0125
9,9,"Joseph Drouhin winery ,Charmes-Chambertin, Burgundy, France",95,164.0,France,-0.13333333333333333
10,10,"Chanson Père et Fils winery ,Charmes-Chambertin, Burgundy, France",94,190.0,France,0.09999999999999999
11,11,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",97,,France,0.4130952380952381
12,12,"Wayfarer winery ,Fort Ross-Seaview, California, US",98,155.0,US,0.22023809523809526
13,13,"Wayfarer winery ,Fort Ross-Seaview, California, US",97,115.0,US,0.13113553113553114
14,14,"Wayfarer winery ,Fort Ross-Seaview, California, US",96,115.0,US,0.39866071428571426
15,15,"Wayfarer winery ,Fort Ross-Seaview, California, US",96,115.0,US,0.09772727272727273
16,16,"Château Pierre-Bise winery ,Quarts de Chaume, Loire Valley, France",95,60.0,France,0.34500000000000003
17,17,"Wayfarer winery ,Fort Ross-Seaview, California, US",95,90.0,US,0.1571428571428571
18,18,"COS winery ,Vittoria, Sicily & Sardinia, Italy",95,30.0,Italy,-0.008333333333333331
19,19,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",90,70.0,France,0.21927272727272723
20,20,"Domaine Leflaive winery ,Bâtard-Montrachet, Burgundy, France",97,430.0,France,0.22357142857142853
21,21,"Domaine Leflaive winery ,Chevalier-Montrachet, Burgundy, France",97,550.0,France,0.29357142857142854
22,22,"Copain Wines winery ,Anderson Valley, California, US",95,50.0,US,0.15666666666666665
